name,type
AsianRaysClothes1,paidSparks
AsianRaysClothes2,paidSparks
AsianRaysClothes3,paidSparks
AsianRaysClothes,paidSparks
AsianRaysGloves1,paidSparks
AsianRaysGloves2,paidSparks
AsianRaysGloves3,paidSparks
AsianRaysGloves,paidSparks
AsianRaysHeadPiece1,paidSparks
AsianRaysHeadPiece2,paidSparks
AsianRaysHeadPiece3,paidSparks
AsianRaysHeadPiece,paidSparks
BasicOutfitClothes1,paidSparks
BasicOutfitClothes2,paidSparks
BasicOutfitClothes3,paidSparks
BasicOutfitClothes,paidSparks
BasicOutfitGloves1,paidSparks
BasicOutfitGloves2,paidSparks
BasicOutfitGloves3,paidSparks
BasicOutfitGloves,paidSparks
BasicOutfitHeadPiece1,paidSparks
BasicOutfitHeadPiece2,paidSparks
BasicOutfitHeadPiece3,paidSparks
BasicOutfitHeadPiece,paidSparks
BodyTattoo6,paidSparks
BodyTattoo7,paidSparks
BodyTattoo9,paidSparks
BodyTattoo10,paidSparks
BodyTattoo11,paidSparks
BodyTattoo12,paidSparks
Costume3Clothes1,paidSparks
Costume3Clothes2,paidSparks
Costume3Clothes3,paidSparks
Costume3Clothes,paidSparks
Costume3Gloves1,paidSparks
Costume3Gloves2,paidSparks
Costume3Gloves3,paidSparks
Costume3Gloves,paidSparks
Costume3HeadPiece1,paidSparks
Costume3HeadPiece2,paidSparks
Costume3HeadPiece3,paidSparks
Costume3HeadPiece,paidSparks
FaceTattoo4,paidSparks
FaceTattoo5,paidSparks
FaceTattoo6,paidSparks
FaceTattoo7,paidSparks
FaceTattoo8,paidSparks
FaceTattoo9,paidSparks
FaceTattoo12,paidSparks
FaceTattoo13,paidSparks
FaceTattoo14,paidSparks
FaceTattoo15,paidSparks
FaceTattoo16,paidSparks
FaceTattoo20,paidSparks
FaceTattoo21,paidSparks
FaceTattoo22,paidSparks
FractalPrinceClothes1,paidSparks
FractalPrinceClothes2,paidSparks
FractalPrinceClothes3,paidSparks
FractalPrinceClothes,paidSparks
FractalPrinceGloves1,paidSparks
FractalPrinceGloves2,paidSparks
FractalPrinceGloves3,paidSparks
FractalPrinceGloves,paidSparks
FractalPrinceHeadPiece1,paidSparks
FractalPrinceHeadPiece2,paidSparks
FractalPrinceHeadPiece3,paidSparks
FractalPrinceHeadPiece,paidSparks
FragmentsUniverseClothes1,paidSparks
FragmentsUniverseClothes2,paidSparks
FragmentsUniverseClothes3,paidSparks
FragmentsUniverseClothes,paidSparks
FragmentsUniverseGloves1,paidSparks
FragmentsUniverseGloves2,paidSparks
FragmentsUniverseGloves3,paidSparks
FragmentsUniverseGloves,paidSparks
FragmentsUniverseHeadPiece1,paidSparks
FragmentsUniverseHeadPiece2,paidSparks
FragmentsUniverseHeadPiece3,paidSparks
FragmentsUniverseHeadPiece,paidSparks
GirihClothes1,paidSparks
GirihClothes2,paidSparks
GirihClothes3,paidSparks
GirihClothes,paidSparks
GirihGloves1,paidSparks
GirihGloves2,paidSparks
GirihGloves3,paidSparks
GirihGloves,paidSparks
GirihHeadPiece1,paidSparks
GirihHeadPiece2,paidSparks
GirihHeadPiece3,paidSparks
GirihHeadPiece,paidSparks
GreekClothes1,paidSparks
GreekClothes2,paidSparks
GreekClothes3,paidSparks
GreekClothes,paidSparks
GreekGloves1,paidSparks
GreekGloves2,paidSparks
GreekGloves3,paidSparks
GreekGloves,paidSparks
GreekHeadPiece1,paidSparks
GreekHeadPiece2,paidSparks
GreekHeadPiece3,paidSparks
GreekHeadPiece,paidSparks
HighValueClothes1,paidSparks
HighValueClothes2,paidSparks
HighValueClothes3,paidSparks
HighValueClothes,paidSparks
HighValueFemClothes1,paidSparks
HighValueFemClothes2,paidSparks
HighValueFemClothes3,paidSparks
HighValueFemClothes,paidSparks
HighValueFemGloves1,paidSparks
HighValueFemGloves2,paidSparks
HighValueFemGloves3,paidSparks
HighValueFemGloves,paidSparks
HighValueFemHeadPiece1,paidSparks
HighValueFemHeadPiece2,paidSparks
HighValueFemHeadPiece3,paidSparks
HighValueFemHeadPiece,paidSparks
HighValueGloves1,paidSparks
HighValueGloves2,paidSparks
HighValueGloves3,paidSparks
HighValueGloves,paidSparks
HighValueHeadPiece1,paidSparks
HighValueHeadPiece2,paidSparks
HighValueHeadPiece3,paidSparks
HighValueHeadPiece,paidSparks
MedievalStripClothes1,paidSparks
MedievalStripClothes2,paidSparks
MedievalStripClothes3,paidSparks
MedievalStripClothes,paidSparks
MedievalStripGloves1,paidSparks
MedievalStripGloves2,paidSparks
MedievalStripGloves3,paidSparks
MedievalStripGloves,paidSparks
MedievalStripHeadPiece1,paidSparks
MedievalStripHeadPiece2,paidSparks
MedievalStripHeadPiece3,paidSparks
MedievalStripHeadPiece,paidSparks
Trail03,paidSparks
Trail04,paidSparks
Trail05,paidSparks
Trail06,paidSparks
Trail07,paidSparks
Trail08,paidSparks
Trail09,paidSparks
Trail13,paidSparks
Trail14,paidSparks
Trail15,paidSparks
Trail16,paidSparks
Trail21,paidSparks
Trail22,paidSparks
Wings4,paidSparks
Wings6,paidSparks
Wings8,paidSparks
Wings9,paidSparks
Wings10,paidSparks
Wings11,paidSparks
Wings12,paidSparks
Wings13,paidSparks
Wings14,paidSparks
Wings16,paidSparks
Wings19,paidSparks
Wings21,paidSparks
Wings22,paidSparks
AncientWisdomClothesDX,deluxe
AncientWisdomGlovesDX,deluxe
AncientWisdomHeadPieceDX,deluxe
GirihClothesDX,deluxe
GirihGlovesDX,deluxe
GirihHeadPieceDX,deluxe
TrailDX,deluxe
WingsDX,deluxe
AncientRingClothes1,masteryReward
AncientRingClothes,masteryReward
AncientRingGloves1,masteryReward
AncientRingGloves,masteryReward
AncientRingHeadPiece1,masteryReward
AncientRingHeadPiece,masteryReward
AncientWisdomClothes1,masteryReward
AncientWisdomClothes,masteryReward
AncientWisdomGloves1,masteryReward
AncientWisdomGloves,masteryReward
AncientWisdomHeadPiece1,masteryReward
AncientWisdomHeadPiece,masteryReward
BodyTattoo2,masteryReward
BodyTattoo14,masteryReward
BodyTattoo15,masteryReward
DefaultCostumeClothes1,masteryReward
DefaultCostumeClothes2,masteryReward
DefaultCostumeGloves1,masteryReward
DefaultCostumeGloves2,masteryReward
DefaultCostumeHeadPiece1,masteryReward
DefaultCostumeHeadPiece2,masteryReward
EgyptianTriangleClothes1,masteryReward
EgyptianTriangleClothes,masteryReward
EgyptianTriangleGloves1,masteryReward
EgyptianTriangleGloves,masteryReward
EgyptianTriangleHeadPiece1,masteryReward
EgyptianTriangleHeadPiece,masteryReward
FaceTattoo10,masteryReward
FaceTattoo17,masteryReward
FaceTattoo23,masteryReward
FemCostume3Clothes1,masteryReward
FemCostume3Clothes2,masteryReward
FemCostume3Gloves1,masteryReward
FemCostume3Gloves2,masteryReward
FemCostume3HeadPiece1,masteryReward
FemCostume3HeadPiece2,masteryReward
GoddessClothes,masteryReward
GoddessGloves,masteryReward
GoddessHeadPiece,masteryReward
ObliClothes,masteryReward
ObliGloves,masteryReward
ObliHeadPiece,masteryReward
RhomboidClothes1,masteryReward
RhomboidClothes,masteryReward
RhomboidGloves1,masteryReward
RhomboidGloves,masteryReward
RhomboidHeadPiece1,masteryReward
RhomboidHeadPiece,masteryReward
Trail10,masteryReward
Trail11,masteryReward
Trail12,masteryReward
Trail17,masteryReward
Trail18,masteryReward
Trail23,masteryReward
Wings3,masteryReward
Wings5,masteryReward
Wings7,masteryReward
Wings15,masteryReward
Wings17,masteryReward
Wings24,masteryReward
AncientRingClothes2,hubReward
AncientRingClothes3,hubReward
AncientRingGloves2,hubReward
AncientRingGloves3,hubReward
AncientRingHeadPiece2,hubReward
AncientRingHeadPiece3,hubReward
AncientWisdomClothes2,hubReward
AncientWisdomClothes3,hubReward
AncientWisdomGloves2,hubReward
AncientWisdomGloves3,hubReward
AncientWisdomHeadPiece2,hubReward
AncientWisdomHeadPiece3,hubReward
BodyTattoo4,hubReward
BodyTattoo5,hubReward
BodyTattoo13,hubReward
DefaultCostumeClothes3,hubReward
DefaultCostumeGloves3,hubReward
DefaultCostumeHeadPiece3,hubReward
EgyptianTriangleClothes2,hubReward
EgyptianTriangleClothes3,hubReward
EgyptianTriangleGloves2,hubReward
EgyptianTriangleGloves3,hubReward
EgyptianTriangleHeadPiece2,hubReward
EgyptianTriangleHeadPiece3,hubReward
FaceTattoo11,hubReward
FaceTattoo18,hubReward
FaceTattoo19,hubReward
FemCostume3Clothes3,hubReward
FemCostume3Gloves3,hubReward
FemCostume3HeadPiece3,hubReward
GoddessClothes1,hubReward
GoddessClothes2,hubReward
GoddessClothes3,hubReward
GoddessGloves1,hubReward
GoddessGloves2,hubReward
GoddessGloves3,hubReward
GoddessHeadPiece1,hubReward
GoddessHeadPiece2,hubReward
GoddessHeadPiece3,hubReward
ObliClothes1,hubReward
ObliClothes2,hubReward
ObliClothes3,hubReward
ObliGloves1,hubReward
ObliGloves2,hubReward
ObliGloves3,hubReward
ObliHeadPiece1,hubReward
ObliHeadPiece2,hubReward
ObliHeadPiece3,hubReward
RhomboidClothes2,hubReward
RhomboidClothes3,hubReward
RhomboidGloves2,hubReward
RhomboidGloves3,hubReward
RhomboidHeadPiece2,hubReward
RhomboidHeadPiece3,hubReward
Trail19,hubReward
Trail20,hubReward
Trail24,hubReward
Wings18,hubReward
Wings20,hubReward
Wings23,hubReward
BodyTattoo1,unknown
BodyTattoo3,unknown
BodyTattoo8,unknown
BodyTattooOff,unknown
DefaultCostumeClothes,unknown
DefaultCostumeGloves,unknown
DefaultCostumeHeadPiece,unknown
FaceTattoo1,unknown
FaceTattoo2,unknown
FaceTattoo3,unknown
FaceTattooOff,unknown
FemCostume3Clothes,unknown
FemCostume3HeadPiece,unknown
LongEthericHair,campaignReward
ShortEthericHair,campaignReward
